Описание:;Кол-во:;Х-ки:;Позиц.Обозначение:;РџРѕСЃС‚Р°РІС‰РёРє Рё СЃРїСЂР°РІРєР°
C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;3;100 нФ 0805;C14,C15,C12;
C_Disc_D7.5mm_W5.0mm_P10.00mm;2;2,2 нФ;C16,C1;
CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder;7;47 мкФ Case D;C5,C11,C4,C2,C13,C6,C3;
C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;4;330 пФ 0805;C9,C8,C10,C7;
R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;1 кОм 0805;R4,R6;
R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;0 Ом 0805;R3;
R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;10 кОм 0805;R1,R2;
R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;100 Ом 0805;R7;
R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;NU;R5;
L_Axial_L24.0mm_D7.1mm_P30.48mm_Horizontal_Vishay_IM-10-28;2;4 мГн мин.;L1,L2;
D_SMB_Handsoldering;3;10BQ040 SMB;D1,D3,D2;
LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder;1;LED (KPTD-3216 MGC);D4;
MPN;1;MP-N;U1;
OLED I2C;1;OLED;U5;
ESP32-WROOM-32D;1;ESP32-WROOM-32E;U3;
SOT-223-3_TabPin2;1;AMS1117-3.3;U2;
QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias;1;HMC542BLP4ETR;U4;
SOP65P640X110-24N;1;74LVC4245APW,112;IC1;
HC0903A;1;Buzzer;BZ1;
TestPoint_Pad_1.0x1.0mm;1;ДЦЖ;J1;
TestPoint_Pad_1.0x1.0mm;1;BP-311G;J2;
TestPoint_Pad_1.0x1.0mm;1;ДЦЖ;J5;
TestPoint_Pad_1.0x1.0mm;1;BP-311G;J6;
JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical;1;12V;J3;
PinHeader_1x04_P2.54mm_Vertical;1;PLS-4;J4;
PinHeader_1x03_P2.54mm_Vertical;1;PLS-3;JP1;
RotaryEncoder EC11 SMD;1;EC11;S1;
